"457997339,2025-06-03T06:55:22Z,1404/03/13 10:25,هادی,hadimoqise,quote,اگه بازیگر دلقکش بزاره"
"457997334,2025-06-03T06:55:05Z,1404/03/13 10:25,سینا,ssbbpp,twit,#کرمان حواستون به زفجر هم باشه بعد نگید نگفتی/مث آلومینا شد/همچنان توصیه خرید به هیچکی ندارم🙃"
"457997329,2025-06-03T06:55:04Z,1404/03/13 10:25,صبور بورس,mirbozorgi,quote,شما دوست عزیز بفروش خودت راحت کن نگران بقیه نباش ممنون"
"457997316,2025-06-03T06:55:00Z,1404/03/13 10:25,trade 70,fxtrader70,twit,#شاخص_بورس \n تو این یه ماه خودرو 28 درصد ریخته شاخص 5 درصد تا کجا میخوان این بازی کثیف شاخص سازی رو ادامه بدن"
"457997309,2025-06-03T06:54:51Z,1404/03/13 10:24,سهامدار بلند مدت غنیلی,ghenili,twit,#شاخص_بورس با این حجم مبنا و دامنه نوسان 90 درصد سهمای بازار انگاری متوقف هستن و هیچ کسی ورود یا خروج نمیزنه،من سهم از اردیبهشت 1402 توی سبدم دارم که دو ساله رو 20 درصد ضرر مونده،نه بالا می‌ره که بفروشم ،نه پایین می‌ره که میانگین بزنم،انگاری سهم متوقف شده ،ی کمپین نه به حجم مبنا و دامنه نوسان باید راه بندازیم،دوستان لطفاً حمایت و باز نشر کنید تا دیده بشه"
"457997305,2025-06-03T06:54:48Z,1404/03/13 10:24,Gholami,gholami1355,twit,#شتران شاوان اصلاحیه مدال کرد\nپالایشی سودش کم نمیشه مفت نفروشید"
"457997297,2025-06-03T06:54:42Z,1404/03/13 10:24,امیر علی دائی,amiraali,quote,حیف وقت ارزشمندت نیست که ح روم این داغون بکنی؟ سابقه این یا رو:\nشپلی روی ۱۳۰ چند وقت پیش می‌گفت بخرید که سهم اومد روی ۹۰ تومن\nروی وثوق گقت ۴۰۰۰ بخرید که سقوط کرد تا ۱۶۰۰\nفمراد هم حتما یه سیخ داغ ... که اینقدر داغش کرده که حتی پیگیر مجمعش هم هست، چند وقت پیش هم توصیه کردم که یک دوره مقدماتی بورس ببین\nشما با استراتژی خودت بخر برادر این یا رو خیلی هارو بدبخت کرده\nتو همین گروه شپلی یه بنده خدا با توصیه این روی ۱۲۵ خرید زده بود ولی داشت به جد و آباد این یارو ف حش میداد"
"457994152,2025-06-03T05:43:23Z,1404/03/13 09:13,احسان هنری,ehsan294,retwit,#شاخص_بورس \n درود دوستان حتما در کارزار مدیریت فوری دامنه نوسان شرکت کنید و برای سایر فعالان هم به اشتراک بگذارید تا بیشتر از این بازار را به ورطه نابودی نکشانده اند.\n\nدر سایت کارزار سرچ کنید : درخواست فوری برای افزایش دامنه نوسان بازار سهام و صندوق‌های قابل معامله"
"457997266,2025-06-03T06:54:15Z,1404/03/13 10:24,BORSCHI,sal17075,twit,#کالا \nصندوق اهرمی نارنج در حال اضافه کردن"
"457997263,2025-06-03T06:54:15Z,1404/03/13 10:24,nima6666666666,nima6666666666,twit,#ثشاهد بخدا وقتی شکایت زیاد باشه پیگیری میکنن بهتر از گلگی کردن اینجاست که فقط سهامدار هست"
