"457446629,2025-05-10T06:41:00Z,1404/02/20 10:11,E,hadi676767,twit,#تپکو \nمراقب انگشتتون باشین ک خیلی زود دیر میشه\nپایان امروز حال فروشندگان رو خریداریم\nشمارش معکوس برای رفتن از صف فروش به سمت خرید"
"457446626,2025-05-10T06:40:56Z,1404/02/20 10:10,مهندس عمران,maryam_022,twit,#خساپا بازگشایی سفارت امریکا در ایران خبر مهم ترامپ خواهد بود + بابک زنجانی+ واگذاری + بورس کالا"
"457446622,2025-05-10T06:40:51Z,1404/02/20 10:10,Phoenix ,shabgarrd,twit,#بپویا بخرید گزارش سالیانه عالیست که بزودی کدال میشود"
"457446619,2025-05-10T06:40:49Z,1404/02/20 10:10,فراهانی,raza6479,quote,زن لایکو برا پالایش و شتران و جهش"
"457446614,2025-05-10T06:40:41Z,1404/02/20 10:10,Hasankasra36,hasankasra36,twit,#ورنا \n جز اندک سهامی که   مردانه وار    عمل کرد 👏👏👏👏"
"457446610,2025-05-10T06:40:31Z,1404/02/20 10:10, multi swing trader F&B,ehsanjan3,twit,ادامه حرکت تمشک را این شکل احتمال میدم ، که بع ار ایین صعود 15 درصدی یک پایینی تا محل های آرو مشخص شده بزنه و سپس ادامه صعود و این درصورتی هست که وی شکل مقاومت نشکنه و بره بالا"
"457446605,2025-05-10T06:40:29Z,1404/02/20 10:10,امیر,farzan50,quote,#شاخص_بورس\nآخه مشکل اینه که عیار هم طلا نیست.\nصندوق های طلا با طلای فیزیکی فرق داره عزیز جان.\nصندوق ها شدن محل رانت . نوسانگیری از خلق الله. فسا . د و هزار کوفت دیگه.\nرگ گردن برای اینا کلفت نکن. جوونی بهت میگم."
"457446597,2025-05-10T06:40:20Z,1404/02/20 10:10,رضا الف,sahoffice,twit,#ذوب ذوب برو بالا تا با سایپا طلایی عوضت کنم :)"
"457446592,2025-05-10T06:40:12Z,1404/02/20 10:10,امیر حریرچی,harirchi94,twit,#ثشاهد حقوقی رنج منفی زد و برد صف فروش ولی بازم خریدن ازش"
"457446587,2025-05-10T06:40:09Z,1404/02/20 10:10,Vedad ,azmayeshpayam,twit,#لازما \nبا تفکیک و دیوار کشی، چند ماهی است عرصه کارخانه آزمایش مرودشت به شهرک صنعتی خصوصی تبدیل شده است."
