"457833224,2025-05-26T06:46:01Z,1404/03/05 10:16,MSJ,mortezasj,twit,#پارس \nواقعا سهم به اذیت کنی پارس ندیدم!!!"
"457833203,2025-05-26T06:45:46Z,1404/03/05 10:15,Don Corleone,doncorleone,twit,#رمپنا \nارزش نیروگاههای مپنا بیش از 10 میلیارد دلار برآورد میشود"
"457833194,2025-05-26T06:45:32Z,1404/03/05 10:15,محمد,mahdyar.f10,quote,#دانا  \nبزرگوار نمی دانم شنیده های شما از کجاست اما کاملا اشتباه است و سرمایه گذاری بیمه دانا مالک خود دانا نمی شود \nاما یکی از نزدیکان ما که در مجموعه دانا تشریف دارند بیان داشتند در راستای تفاهم نامه بانک شهر و بیمه دانا (۹ خرداد ۱۴۰۳) حسابهای شرکت دانا و حتی حقوق کارمندان دانا به بانک شهر منتقل شده   و بزودی قرار بر این شده قرارداد عظیم ۲۰ همتی بانک شهر و شهرداری های کل کشور با بیمه دانا منعقد شود البته همزمان با مالکیت بانک شهر بر بیمه دانا\nالله اعلم \nان شاالله مایه خیر برای همه سهامداران صبور دانا باشد\nیا رزاق ارزقنا"
"457833181,2025-05-26T06:45:18Z,1404/03/05 10:15,mahdi ....,tajerimahdibbbb,twit,#شاخص_بورس اقایون و خانمهای بالا 30 الی 40 سال لطفا جواب بدن \n\nبعد این 3 الی 4 دهه زندگی حال دلتون  با این سیاستها چطوره"
"457833177,2025-05-26T06:45:10Z,1404/03/05 10:15,سهام سهامدار,sahamsahamdar,quote,#ثرود\nهنوز هم در حال اجراست \nالبته ممکنه صاحبان رانت هم پیاده بشن ، هیچ معلوم نیست"
"457833173,2025-05-26T06:45:00Z,1404/03/05 10:15,HRP,hrpak,twit,#خبنیان چه گیری کردیم. چقدر آزاردهنده است این سهم!"
"457833167,2025-05-26T06:44:59Z,1404/03/05 10:14,ساعدی,aszs,twit,#کاوه \nدر سال 1403، شرکت فولاد کاوه جنوب کیش (SKS) با وجود چالش‌های متعدد از جمله محدودیت‌های انرژی، تحریم‌های اقتصادی و نوسانات بازار، چالش‌های تأمین مواد اولیه موفق شد با سهم 6.8 درصدی در تولید بیلت و بلوم، سهم 4.7 درصدی از تولید آهن اسفنجی کشور و کسب رتبه نخست در معاملات شمش فولادی رینگ صادراتی بورس کالا، جایگاه خود را در میان بزرگان صنعت فولاد ایران تثبیت نماید."
"457833161,2025-05-26T06:44:49Z,1404/03/05 10:14,iman,iman_0003,twit,#شپترو \n🤣🤣 با اختلاف زياد نه يكم"
"457832834,2025-05-26T06:37:07Z,1404/03/05 10:07,سهام دار,sjsadjadi,retwit,یه جور می گی اردر های سنگین انگار چقدر فروخته\n\nکل ارزش این روزهای سهم به اندازه یک آپارتمان 100 متری تو وسط تهران نیست. این سهم باید برود بالا"
"457833153,2025-05-26T06:44:38Z,1404/03/05 10:14,بهروز ,beh90,twit,#وآرین زرت و پرت اضافی نکنید\nفقط بخرید اگه ت خ م شو دارید"
