"458070484,2025-06-09T06:53:58Z,1404/03/19 10:23,شاهین,shahinnj,quote,دقیقا همینطوره \nاگه بخاطر مکا.نیسم ماشه و خطر ح.م.ل.ه  نظا.می بورس داره ریزش میکنه پس چرا دلار و طلا بالا نمیره ؟"
"458070466,2025-06-09T06:53:39Z,1404/03/19 10:23,محمد محمد,hndc2244,quote,#شبندر \nسلام . روز خوش . \n- بهتر نبود به جای آتش زدن پول ، حداقل آنرا از بورس خارج میکردی !!!\n- از قدیم گفتن کور از خدا چی میخواد ؟\n- دقیقا همان کاری را کردی که برای شما برنامه ریزی و طراحی کرده بودن !!!\nبزرگوار نجات پیدا نکردی بلکه با دست خودت افتادی در دام صیادان سرمایه . \n-"
"458070460,2025-06-09T06:53:35Z,1404/03/19 10:23,سپیده,sepideh8650,twit,#کرمان خدا لعنتت کنه حقوقی کرمان"
"458070452,2025-06-09T06:53:21Z,1404/03/19 10:23,Pedarjepeto,piinokio,twit,#وسین شاخص ۲.۹۵۰ و بعد ۲۸۰۰ را حمایت داره فعلا دیگه خرید ندارم تا قیمتها. رسیده تر بشه"
"458070447,2025-06-09T06:53:17Z,1404/03/19 10:23,سلطان محمود رانتی,rezataksahm,twit,#پارسیان سوپر مفت ترین سهم بازار با اختلاف، ۴۰۵.۲ تو صف فروش عجب فرصتی"
"458070433,2025-06-09T06:52:40Z,1404/03/19 10:22,کورمنجی,ibo897,twit,#شاخص_بورس \n\nاول همه از خلق خدا دزدیدند\nآخر همگی به ریش ما خندیدند\nفوری و سریع و انقلابی خوردند\nفوری و سریع و انقلابی ر...."
"458070423,2025-06-09T06:52:33Z,1404/03/19 10:22,Robert Deniro,robertdeniro,quote,خواهش میکنم اینقدر این عکس رو باز نشر نکنید.\nبه اندازه کافی عذابمون داده دیگه قیافش اذیتمون نکنه."
"458070417,2025-06-09T06:52:22Z,1404/03/19 10:22,محمدجواد شیری,dasdlajdladj,twit,#شلرد \n⛔⛔⛔"
"458070410,2025-06-09T06:52:03Z,1404/03/19 10:22,مسعود,masoudforozanfa,twit,ماي بي بي ببند😁😁😁😁😁"
"458070407,2025-06-09T06:52:02Z,1404/03/19 10:22,هژیر,hsja99,quote,داریم نزدیک میشیم ؟؟؟"
