"456795967,2025-04-12T06:48:07Z,1404/01/24 10:18,AY,ygn1234,twit,#معین \nسلام \nالکی باز به حقوق ۲۰۰هزار کد به کد که کردند که مثلا سهم دارد می ریزد حمایت شده \nدر حالی که اینجوری نیست  بلکه دست سهامدار حقیقی سهمی نمونده"
"456795960,2025-04-12T06:48:06Z,1404/01/24 10:18,هانتر,kj0007,pull,#شاخص_بورس به نظرتون چند نفر فعال تو بازار سرمایه موندن هنوز؟"
"456795948,2025-04-12T06:47:49Z,1404/01/24 10:17,Amirranti,amirranti,twit,#کاما دوباره تکرار میکنم چون اولین سهمیه که در این اکانت معرفی شده پروژه شده که بره بالا همینطور دیدین ازاولین پیامم حقوقی۳ملیون خرید بهرحال گروهای دیگری سهم رو دارن میخرن الان قیمتش ۲۴۰ به هدف ۷۰۰بماند که به اندازه کافی تو سری خورده و ارزش دلاری سهم با زیر مجموعه و فاند و تکنیکال و.... همه چی گویاهست وخداوند با صابران است ...."
"456795944,2025-04-12T06:47:45Z,1404/01/24 10:17,Dragon rider ,b.asadi,quote,عمرمون رفت ،جوونیمون رفت ،سرمایمون به فنا رفت \nفقط بخاطر سرمایه گذاری تو این اقتصاد \nهر روز استرس هر روز استرس خدایا خودت به دادمون برس"
"456795479,2025-04-12T06:36:13Z,1404/01/24 10:06,آینده نگر بازار,aza59229,retwit,#شاخص_بورس \n\nبا خیالبافی و رؤیا پردازی اقدام به انجام معاملات نکنید .\n\n\n..."
"456795925,2025-04-12T06:47:24Z,1404/01/24 10:17,رضا,hazr03990,quote,از اول هم کشور ثروتمندی بوده ولی چیزی که باعث شده معیشت ما را با افریقایی ها مقایسه کنند فساد مسئولین است وبس .بقیه موارد درصد تاثیر کذاریشان بسیار پایین است."
"456795914,2025-04-12T06:47:10Z,1404/01/24 10:17,ابراهیم مقدسی,ebrahimmogadasi,twit,#تپکو دستکاری قیمت تپکو توسط حقوقی و تخلف آشکار"
"456795900,2025-04-12T06:46:40Z,1404/01/24 10:16,فقط باید گفت باعث و بانی این ز,mohamadgorji136,quote,شما راست میگی چرا ناو آوردی پس \nچرا دوباره تحریم کردی \nچرا فرانسه تحریم میخواد بکنه پس \nمذاکر فشار و فشار فایده نداره"
"456795888,2025-04-12T06:46:16Z,1404/01/24 10:16,ولف,naser1338,twit,#شگستر صندوق فیروزه به نمایندگی خانم فاطمه سرکاری واقای حسین پارسا مسول مستقیم بازار گردانی شگستر هستند متاسفانه به نفع سهامدار عمل نمیکنند /جناب شیدانی مدیر عامل محترم تا کجا پیش میری سهامدار هارا فراری دادید دیگه امید نیست سرتو از زیر برف بیار بیرون خجالت بکش"
"456795874,2025-04-12T06:45:59Z,1404/01/24 10:15,بورسینو,boorsin,twit,#نوری اگر حقیقی بر مینای این تحلیل که توافق بر روی نوری اثر منفی خواهد داشت یا بر مبنای این تحلیل که کاهش قیمت نفت عملکرد نوری را کاهش میده، اقدام به فروش میکنه، متضرر خواهد شد. نوری 1404 شگفتی خلق خواهد کرد. بحث حقوقی ها فرق میکنه.\nصلاح مملکت خویش خسروان دانند."
