"456853515,2025-04-14T06:44:16Z,1404/01/26 10:14,گارگانتوا,gargantuaa,quote,با این رشد مثلا سهمگین سهام تون ترجیح میدم طلا یشتر منفی بخوره تا مثبت شاید بهش برسیم"
"456853505,2025-04-14T06:44:07Z,1404/01/26 10:14,ماهیگیر,aloo11,twit,#شاخص_بورس سقف شکسته شد ..."
"456853502,2025-04-14T06:44:00Z,1404/01/26 10:14,نوه ی کربعلی خان خلج,khalajkhan1989,twit,#فملی فقط یک نگاه به گروه بانکی بکنید؟!!\nاین بانک ها پدر اقتصاد و صنعت رو درآوردند \nهر ریالی که به سمت سهام بانکی میره یک خنجر بر پشت اقتصاد و صنعته!\nچرا باید بانک ها شرکت سهامی باشند و وارد بورس بشند؟!!\nتمام پولی که وارد بانک ها میشه نتیجه اش میشه خلق پول و دلالی ملک ومسکن و ارز وسودا گری و..\nسهم بانکی بخرم احساس میکنم پولم حرام شرعی میشه!"
"456853499,2025-04-14T06:43:59Z,1404/01/26 10:13,اکبر علی پناه دولت آباد,akbaralipanah,twit,#کیسون سلام هرکی میخواد بفروشه الان فرصت هست\nبفروش برو \nما که تا هشتصد نمی فروشیم"
"456853493,2025-04-14T06:43:46Z,1404/01/26 10:13,Valizadeh--na,valizadeh--na,twit,#کماسه \nبا کماسه \nدر عرض ۱۵ ماه \n۲۲ درصد تاریخ ۲۵ فروردین \nدر ضرر هستم \nبا اون ۱۱ درصد \nالان ضررم نصف بود"
"456853482,2025-04-14T06:43:38Z,1404/01/26 10:13,kyla,moha12,twit,#شاخص_بورس #کیا حقوقی داره حمایت میکنه همین الان"
"456853477,2025-04-14T06:43:27Z,1404/01/26 10:13,صالح,salehpasani,twit,#شاراک بعد ریزش ۷۰درصدی یه کله هنوزم ولع صف فروش داره بی وجودی هم حدی داره ملتو بدبخت کردن ول کنم نیستن"
"456853474,2025-04-14T06:43:27Z,1404/01/26 10:13,الکسیس,alex6251147,twit,#شمس حرکت"
"456853450,2025-04-14T06:43:04Z,1404/01/26 10:13,esparooz,esparooz,quote,#شاخص_بورس شایعه هم باشه مهم اینه که در روزهای گذشته با این شایعات (به قول خودت)  بالا و پایین به همراه جلو عقب خیلی ها یکی شده !"
"456519774,2025-03-16T20:00:55Z,1403/12/26 23:30,هادی بابایی,baranpaeize,retwit,#جم من دوباره یه 200 تا از این رفیق همیشگی خریدم امید دارم بکشه بالای 7000 ت ...."
