"456909410,2025-04-16T06:40:04Z,1404/01/28 10:10,HRA,hamidreza5490,twit,#آباد \nحقوقی خداوند ان شا الله به درد بی درمون مبتلاتون کنه.\nشاخص کل منفی آباد منفی \nشاخص کل مثبت بازم آباد منفی \nان شا الله خداوند نابودتون کنه"
"456909403,2025-04-16T06:39:50Z,1404/01/28 10:09,امیرهوشنگ اقبالی مقدم,jafar0023,quote,ناظر که داری بر معاملات غیرقانونی مادیرا چشم می پوشی و انگار نه انگار که داره فلان میکنه بهمان میکنه دستشو کرده توو حقل ما داره حق سهامداران رو میخوره\nدر اوج روزهای طلایی و مثبت بورس از دیماه تا الان که فروردینه 4ماهه که ریزش از 600 تومن کرده الان 300 تومنه و باقی سهمها رشدهای نجومی کرده اند \nبخدا نمیشه که بر معاملاتشون سرپوش بزارید بخدا این مردم گناه دارند \nتو رو خدا بخاطر امام زمان گزارش بده تا پوستشو بکنند ..........\nاین که نمیشود یک شرکت فاسد با رئیس روسای گرگ بیاد یه شرکت تاسیس کنه\nهیچ کاری هم نکنند نه تولیدی نه اشتغالی نه استخدامی\nبیان بشینن پشت میز صبح هرروز قهوه و نسکافه بخورند و از ما مردم نوسان بگیرند\nاین مردم گناه دارند شرکت رو منحل کنید تا حساب کار دستشون بیاد"
"456905188,2025-04-16T04:30:16Z,1404/01/28 08:00,Alexander,alexander2024,retwit,#شاخص_بورس \nاینطور بگم. قبلا سر موارد اساسی توافق شده. \nاگه قرار باشه تاسیسات هسته ای ایران جمع بشه مطمئن باش ایران ترجیح میده با بمباران آمریکا از بین بره تا اینکه خودش مثل لیبی جمعش کنه تحویل بده. اینطور به نفعش است و عزت مندانه تره، طلبکار هم میشه تازه دانش هسته ایش هم از بین نمیره. \nپس اگه ایران اومده سر میز مذاکره یعنی آمریکا غنی سازی رو تا حد استفاده غیر نظامی پذیرفته."
"456909385,2025-04-16T06:39:25Z,1404/01/28 10:09,ایوانکا ترامپ,ivankatrump,twit,#وبصادر 🤮"
"456909379,2025-04-16T06:39:16Z,1404/01/28 10:09,تورک اُغلان,kurogle,twit,#غسالم همین الان کدال را چک کردم \nاز ۲۸ اسفند پارسال اطلاعیه ای نداشته \nفقط موندم چرا دیروز صف فروش شد  و امروز صف خرید شده . \nتو این بورس وقتی سهی صف فروش شد میگم: یا صبر آلله   وقتی صف خرید شد میگم: الحمدالله"
"456909373,2025-04-16T06:39:07Z,1404/01/28 10:09,خدابنده,edman,twit,#وپاسار  از همه مقاومت ها عبور کرده "
"456909367,2025-04-16T06:39:03Z,1404/01/28 10:09,سهامدار 1379,sed1403k,twit,#شاخص_بورس افزایش سرمایه های من درآوردی یک مشت یاغی برای چپاول سرمایه های ملت.........."
"456909362,2025-04-16T06:39:02Z,1404/01/28 10:09,M.1,mohmad1995,quote,#شاخص_بورس \nخوبی و بورس و بازار مالی اینه\nذره ی اهمیت نمیده به سم پاشی یا رویا فروشی کسی\nابتدای راه ک هیچ هنوز مسیر صعودی شروع هم نشده\nدر مورد طلا هم نوش جونتون منفی های امروز و آینده"
"456909353,2025-04-16T06:38:48Z,1404/01/28 10:08,مهدی,mehdia11,twit,#وگردش نباید از سهم بد بگیم این سهم همین الان یک دهم قیمت واقعیش داره معامله میشه"
"456909347,2025-04-16T06:38:38Z,1404/01/28 10:08,عموجانی,khavari2025,twit,#کهمدا \nبا نسبت P/E مناسب، سهم خوب و کم ریسکی است...یکم خودم برداشتم"
