"457417946,2025-05-08T06:26:28Z,1404/02/18 09:56,ارش,arash2229105,quote,واقعا اسم خودت گذاشتی انسان.که آرزو تصادف و بیماری می کنی واسه کسی.حتی اون شخص دشمنت باشه"
"457417939,2025-05-08T06:25:23Z,1404/02/18 09:55,امید به خدا 🤲,afshon,quote,داداش یه سوال چرا مثل اکابر مینویسی مشکلی هست؟ آستان ول دیگه چه صیغه ایه بخدا مغزم رگ برگ شد تا فهمیدم چی نوشتی"
"457417935,2025-05-08T06:24:57Z,1404/02/18 09:54,ارش,arash2229105,quote,تو انسانی که آرزو بیماری و تصادف واسه کسی می کنی.اصلا اون شخص دشمنت باشه."
"457417923,2025-05-08T06:24:33Z,1404/02/18 09:54,MohammaD,me2000,twit,#کسعدی افشای ب فروشگاه 427 متری خیابان انقلاب پیچ شمرون - رای دادگاه به نفع کاشی سعدی داده شد.\n\nهمون منطقه این قیمت به فروش میره.\n\nیعنی همین فروشگاه 50 درصد مارکت کاشی سعدی رو پر میکنه. \n\n#شاخص_بورس"
"457417918,2025-05-08T06:24:10Z,1404/02/18 09:54,جلال,jalal1271,twit,#کیا دوسه ماه صبر قیمتش به چند میرسه"
"457417905,2025-05-08T06:22:51Z,1404/02/18 09:52,رضا الف,sahoffice,twit,#عیار اگر عیار 10 درصد 10 درصد میخواست بریزه یا رشد کنه  الان هممون یا بیش از یک میلیون سهم عیار داشتیم یا با هواپیمای شخصی مارپیچ میزدیم بالای جزایر نیلگون کاراییب."
"457417893,2025-05-08T06:21:04Z,1404/02/18 09:51,توت فرنگی,tutfarangi,twit,#شاخص_بورس \n\nهمین د بی و آ ستان ول را \n\nای رانی ها اعتبار دادند \n\nما نباشیم ، د بی هم نیست ...استان بول هم نیست\n\nب آک و هم نیست ...\n\nا ف غان ها که اصلا در ح ساب نیستند..."
"457417880,2025-05-08T06:19:42Z,1404/02/18 09:49,توت فرنگی,tutfarangi,twit,#شاخص_بورس \n\nخلیج فارس ، تا ابد خلیج فارس خواهد ماند.\n\nخودشان هم می دانند تا پول نفت نمی شود اعتبار و تاریخ خرید ...\n\nما هزاران سال پیش ،سیستم بیمه داشتیم ...\n\nهمین ها س و س مار شکار می کردن ...\n\nتا آخرین نفس و قطه خون ، پای پرشین گلف هستیم ."
"457417842,2025-05-08T06:15:18Z,1404/02/18 09:45,رضا الف,sahoffice,twit,#مادیرا دوستان چرا تو سهامیاب p/e , eps شرکت درج نشده؟"
"457417821,2025-05-08T06:11:26Z,1404/02/18 09:41,بچه مرشد,kartal21,quote,#عیار\n😂😂👏👍"
